User_ID,Date,Device,Traffic_Source,Location,Stage_Reached
U0119,01-Mar-2024,Tablet,Facebook,Delhi,Add to Cart
U0120,07-Feb-2024,Mobile,Google,Delhi,Purchase
U0121,05-Jun-2024,Mobile,Facebook,Chennai,Purchase
U0122,27-May-2024,Mobile,Organic,Pune,Visit
U0123,12-Apr-2024,Mobile,Google,Pune,Add to Cart
U0124,28-Jan-2024,Desktop,Google,Delhi,Add to Cart
U0125,27-Jun-2024,Desktop,Facebook,Mumbai,Signup
U0126,01-Feb-2024,Desktop,Google,Kolkata,Signup
U0127,15-May-2024,Desktop,Instagram,Bangalore,Purchase
U0128,23-Apr-2024,Desktop,Email,Pune,Purchase
U0129,19-Apr-2024,Desktop,Facebook,Delhi,Add to Cart
U0130,01-May-2024,Desktop,Facebook,Kolkata,Visit
U0131,12-Jun-2024,Mobile,Email,Kolkata,Signup
U0132,09-Jun-2024,Mobile,Facebook,Chennai,Visit
U0133,14-Mar-2024,Mobile,Facebook,Bangalore,Visit
U0134,18-May-2024,Mobile,Google,Delhi,Visit
U0135,26-Jun-2024,Mobile,Organic,Delhi,Visit
U0136,14-Apr-2024,Mobile,Instagram,Chennai,Signup
U0137,22-Feb-2024,Desktop,Facebook,Kolkata,Signup
U0138,27-Jun-2024,Mobile,Email,Kolkata,Signup
U0139,02-May-2024,Mobile,Facebook,Bangalore,Add to Cart
U0140,17-Apr-2024,Desktop,Organic,Pune,Signup
U0141,03-Jun-2024,Mobile,Facebook,Delhi,Visit
U0142,04-May-2024,Mobile,Facebook,Bangalore,Add to Cart
U0143,13-Apr-2024,Tablet,Google,Kolkata,Signup
U0144,02-Feb-2024,Desktop,Instagram,Mumbai,Purchase
U0145,31-May-2024,Desktop,Organic,Mumbai,Visit
U0146,19-Apr-2024,Mobile,Email,Chennai,Visit
U0147,07-Mar-2024,Desktop,Facebook,Delhi,Signup
U0148,27-Mar-2024,Desktop,Facebook,Kolkata,Purchase
U0149,17-Apr-2024,Mobile,Email,Mumbai,Signup
U0150,18-May-2024,Mobile,Facebook,Delhi,Add to Cart
U0151,15-Jun-2024,Mobile,Email,Mumbai,Purchase
U0152,21-Feb-2024,Mobile,Instagram,Delhi,Visit
U0153,01-May-2024,Tablet,Google,Hyderabad,Purchase
U0154,29-Apr-2024,Tablet,Facebook,Kolkata,Visit
U0155,04-Jun-2024,Desktop,Organic,Pune,Visit
U0156,11-Feb-2024,Mobile,Google,Hyderabad,Visit
U0157,20-Mar-2024,Desktop,Organic,Chennai,Visit
U0158,20-Feb-2024,Mobile,Instagram,Pune,Add to Cart
U0159,03-Mar-2024,Mobile,Organic,Kolkata,Visit
U0160,24-Jun-2024,Desktop,Email,Mumbai,Add to Cart
U0161,24-May-2024,Mobile,Facebook,Hyderabad,Signup
U0162,04-Apr-2024,Mobile,Instagram,Pune,Visit
U0163,17-Apr-2024,Desktop,Google,Chennai,Purchase
U0164,11-Jun-2024,Desktop,Organic,Delhi,Signup
U0165,13-May-2024,Tablet,Facebook,Hyderabad,Add to Cart
U0166,17-May-2024,Desktop,Facebook,Chennai,Add to Cart
U0167,31-May-2024,Mobile,Facebook,Kolkata,Visit
U0168,23-Jan-2024,Mobile,Facebook,Delhi,Add to Cart
U0169,25-May-2024,Desktop,Organic,Chennai,Visit
U0170,06-May-2024,Mobile,Google,Chennai,Visit
U0171,07-Mar-2024,Mobile,Facebook,Hyderabad,Add to Cart
U0172,11-Mar-2024,Desktop,Google,Hyderabad,Purchase
U0173,22-Jan-2024,Mobile,Organic,Chennai,Signup
U0174,02-Mar-2024,Tablet,Facebook,Pune,Add to Cart
U0175,24-Apr-2024,Mobile,Google,Bangalore,Visit
U0176,26-Jun-2024,Mobile,Facebook,Pune,Signup
U0177,01-May-2024,Desktop,Instagram,Bangalore,Signup
U0178,20-May-2024,Mobile,Facebook,Pune,Signup
U0179,19-Mar-2024,Mobile,Google,Mumbai,Add to Cart
U0180,21-Mar-2024,Mobile,Organic,Hyderabad,Purchase
U0181,25-Jun-2024,Mobile,Google,Delhi,Add to Cart
U0182,11-Mar-2024,Tablet,Instagram,Kolkata,Signup
U0183,13-Mar-2024,Mobile,Email,Delhi,Visit
U0184,02-Apr-2024,Mobile,Facebook,Mumbai,Add to Cart
U0185,02-Feb-2024,Mobile,Google,Mumbai,Signup
U0186,27-Jun-2024,Mobile,Organic,Kolkata,Add to Cart
U0187,27-Jan-2024,Mobile,Instagram,Bangalore,Signup
U0188,22-Apr-2024,Mobile,Google,Mumbai,Visit
U0189,02-May-2024,Mobile,Email,Mumbai,Signup
U0190,19-Jan-2024,Desktop,Organic,Pune,Visit
U0191,08-Feb-2024,Desktop,Facebook,Mumbai,Purchase
U0192,31-Jan-2024,Desktop,Email,Chennai,Signup
U0193,07-Jun-2024,Mobile,Email,Hyderabad,Visit
U0194,23-Apr-2024,Mobile,Email,Hyderabad,Purchase
U0195,19-Mar-2024,Desktop,Instagram,Mumbai,Signup
U0196,26-Jan-2024,Mobile,Organic,Delhi,Visit
U0197,21-Jan-2024,Mobile,Google,Delhi,Signup
U0198,10-Feb-2024,Mobile,Facebook,Chennai,Add to Cart
U0199,30-Apr-2024,Mobile,Google,Delhi,Visit
U0200,13-Mar-2024,Tablet,Email,Chennai,Visit
